dataset,mode,precision_mode,failure_class,example_tag,example_error,json_path
,eager,fp16_autocast,fft_fp16_non_power_of_two_size_2072,burgers_fno_base_modes12_seed1_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[2072]",results/jetson_fno_precision/burgers_fno_base_modes12_seed1_eager_fp16_autocast.json
,eager,fp16_autocast,fft_fp16_non_power_of_two_size_2080,burgers_fno_large_seed0_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[2080]",results/jetson_fno_precision/burgers_fno_large_seed0_eager_fp16_autocast.json
,eager,fp16_autocast,fft_fp16_non_power_of_two_size_2088,burgers_fno_base_pad40_seed1_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[2088]",results/jetson_fno_precision/burgers_fno_base_pad40_seed1_eager_fp16_autocast.json
,eager,fp16_autocast,"fft_fp16_non_power_of_two_size_220, 220",darcy_fno_base_r211_seed1_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[220, 220]",results/jetson_fno_precision/darcy_fno_base_r211_seed1_eager_fp16_autocast.json
,eager,fp16_autocast,"fft_fp16_non_power_of_two_size_290, 290",darcy_fno_base_r281_seed1_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[290, 290]",results/jetson_fno_precision/darcy_fno_base_r281_seed1_eager_fp16_autocast.json
,eager,fp16_autocast,fft_fp16_non_power_of_two_size_4120,burgers_fno_base_r4096_seed0_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[4120]",results/jetson_fno_precision/burgers_fno_base_r4096_seed0_eager_fp16_autocast.json
,eager,fp16_autocast,"fft_fp16_non_power_of_two_size_430, 430",darcy_fno_base_r421_seed1_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[430, 430]",results/jetson_fno_precision/darcy_fno_base_r421_seed1_eager_fp16_autocast.json
,eager,fp16_autocast,fft_fp16_non_power_of_two_size_536,burgers_fno_base_r512_seed2_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[536]",results/jetson_fno_precision/burgers_fno_base_r512_seed2_eager_fp16_autocast.json
,eager,fp16_autocast,fft_fp16_non_power_of_two_size_8216,burgers_fno_base_r8192_seed1_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[8216]",results/jetson_fno_precision/burgers_fno_base_r8192_seed1_eager_fp16_autocast.json
,eager,fp16_autocast,"fft_fp16_non_power_of_two_size_94, 94",darcy_fno_base_r85_seed2_eager_fp16_autocast,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[94, 94]",results/jetson_fno_precision/darcy_fno_base_r85_seed2_eager_fp16_autocast.json
,eager,fp16_native,dtype_mismatch,burgers_fno_base_pad0_seed1_eager_fp16_native,expected scalar type ComplexFloat but found ComplexHalf,results/jetson_fno_precision/burgers_fno_base_pad0_seed1_eager_fp16_native.json
,eager,fp16_native,fft_fp16_non_power_of_two_size_1048,burgers_fno_base_r1024_seed0_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[1048]",results/jetson_fno_precision/burgers_fno_base_r1024_seed0_eager_fp16_native.json
,eager,fp16_native,"fft_fp16_non_power_of_two_size_141, 141",darcy_fno_base_pad0_seed1_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[141, 141]",results/jetson_fno_precision/darcy_fno_base_pad0_seed1_eager_fp16_native.json
,eager,fp16_native,"fft_fp16_non_power_of_two_size_149, 149",darcy_fno_small_seed4_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[149, 149]",results/jetson_fno_precision/darcy_fno_small_seed4_eager_fp16_native.json
,eager,fp16_native,"fft_fp16_non_power_of_two_size_150, 150",darcy_fno_base_modes12_seed1_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[150, 150]",results/jetson_fno_precision/darcy_fno_base_modes12_seed1_eager_fp16_native.json
,eager,fp16_native,"fft_fp16_non_power_of_two_size_153, 153",darcy_fno_large_seed0_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[153, 153]",results/jetson_fno_precision/darcy_fno_large_seed0_eager_fp16_native.json
,eager,fp16_native,"fft_fp16_non_power_of_two_size_156, 156",darcy_fno_base_pad15_seed0_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[156, 156]",results/jetson_fno_precision/darcy_fno_base_pad15_seed0_eager_fp16_native.json
,eager,fp16_native,fft_fp16_non_power_of_two_size_2064,burgers_fno_small_seed2_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[2064]",results/jetson_fno_precision/burgers_fno_small_seed2_eager_fp16_native.json
,eager,fp16_native,fft_fp16_non_power_of_two_size_2072,burgers_fno_base_modes12_seed1_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[2072]",results/jetson_fno_precision/burgers_fno_base_modes12_seed1_eager_fp16_native.json
,eager,fp16_native,fft_fp16_non_power_of_two_size_2080,burgers_fno_large_seed0_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[2080]",results/jetson_fno_precision/burgers_fno_large_seed0_eager_fp16_native.json
,eager,fp16_native,fft_fp16_non_power_of_two_size_2088,burgers_fno_base_pad40_seed1_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[2088]",results/jetson_fno_precision/burgers_fno_base_pad40_seed1_eager_fp16_native.json
,eager,fp16_native,"fft_fp16_non_power_of_two_size_220, 220",darcy_fno_base_r211_seed1_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[220, 220]",results/jetson_fno_precision/darcy_fno_base_r211_seed1_eager_fp16_native.json
,eager,fp16_native,"fft_fp16_non_power_of_two_size_290, 290",darcy_fno_base_r281_seed1_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[290, 290]",results/jetson_fno_precision/darcy_fno_base_r281_seed1_eager_fp16_native.json
,eager,fp16_native,fft_fp16_non_power_of_two_size_4120,burgers_fno_base_r4096_seed0_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[4120]",results/jetson_fno_precision/burgers_fno_base_r4096_seed0_eager_fp16_native.json
,eager,fp16_native,"fft_fp16_non_power_of_two_size_430, 430",darcy_fno_base_r421_seed1_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[430, 430]",results/jetson_fno_precision/darcy_fno_base_r421_seed1_eager_fp16_native.json
,eager,fp16_native,fft_fp16_non_power_of_two_size_536,burgers_fno_base_r512_seed2_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[536]",results/jetson_fno_precision/burgers_fno_base_r512_seed2_eager_fp16_native.json
,eager,fp16_native,fft_fp16_non_power_of_two_size_8216,burgers_fno_base_r8192_seed1_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[8216]",results/jetson_fno_precision/burgers_fno_base_r8192_seed1_eager_fp16_native.json
,eager,fp16_native,"fft_fp16_non_power_of_two_size_94, 94",darcy_fno_base_r85_seed2_eager_fp16_native,"cuFFT only supports dimensions whose sizes are powers of two when computing in half precision, but got a signal size of[94, 94]",results/jetson_fno_precision/darcy_fno_base_r85_seed2_eager_fp16_native.json
,eager,fp32_strict,other_runtime_failure,burgers_fno_base_seed3_eager_fp32_strict,CUDA error: CUBLAS_STATUS_ALLOC_FAILED when calling `cublasCreate(handle)`,results/jetson_fno_precision/burgers_fno_base_seed3_eager_fp32_strict.json
,torchscript,bf16_autocast,fft_bf16_unsupported,burgers_fno_base_modes12_seed1_torchscript_bf16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_modes12_seed1_torchscript_bf16_autocast.json
,torchscript,fp16_autocast,dtype_mismatch,burgers_fno_base_pad0_seed1_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_pad0_seed1_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,fft_fp16_non_power_of_two_size_1048,burgers_fno_base_r1024_seed0_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_r1024_seed0_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,"fft_fp16_non_power_of_two_size_141, 141",darcy_fno_base_pad0_seed1_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_pad0_seed1_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,"fft_fp16_non_power_of_two_size_149, 149",darcy_fno_small_seed4_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_small_seed4_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,"fft_fp16_non_power_of_two_size_150, 150",darcy_fno_base_modes12_seed1_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_modes12_seed1_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,"fft_fp16_non_power_of_two_size_153, 153",darcy_fno_large_seed0_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_large_seed0_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,"fft_fp16_non_power_of_two_size_156, 156",darcy_fno_base_pad15_seed0_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_pad15_seed0_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,fft_fp16_non_power_of_two_size_2064,burgers_fno_small_seed2_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_small_seed2_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,fft_fp16_non_power_of_two_size_2072,burgers_fno_base_modes12_seed1_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_modes12_seed1_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,fft_fp16_non_power_of_two_size_2080,burgers_fno_large_seed0_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_large_seed0_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,fft_fp16_non_power_of_two_size_2088,burgers_fno_base_pad40_seed1_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_pad40_seed1_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,"fft_fp16_non_power_of_two_size_220, 220",darcy_fno_base_r211_seed1_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_r211_seed1_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,"fft_fp16_non_power_of_two_size_290, 290",darcy_fno_base_r281_seed1_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_r281_seed1_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,fft_fp16_non_power_of_two_size_4120,burgers_fno_base_r4096_seed0_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_r4096_seed0_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,"fft_fp16_non_power_of_two_size_430, 430",darcy_fno_base_r421_seed1_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_r421_seed1_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,fft_fp16_non_power_of_two_size_536,burgers_fno_base_r512_seed2_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_r512_seed2_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,fft_fp16_non_power_of_two_size_8216,burgers_fno_base_r8192_seed1_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_r8192_seed1_torchscript_fp16_autocast.json
,torchscript,fp16_autocast,"fft_fp16_non_power_of_two_size_94, 94",darcy_fno_base_r85_seed2_torchscript_fp16_autocast,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_r85_seed2_torchscript_fp16_autocast.json
,torchscript,fp16_native,dtype_mismatch,burgers_fno_base_pad0_seed1_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_pad0_seed1_torchscript_fp16_native.json
,torchscript,fp16_native,fft_fp16_non_power_of_two_size_1048,burgers_fno_base_r1024_seed0_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_r1024_seed0_torchscript_fp16_native.json
,torchscript,fp16_native,"fft_fp16_non_power_of_two_size_141, 141",darcy_fno_base_pad0_seed1_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_pad0_seed1_torchscript_fp16_native.json
,torchscript,fp16_native,"fft_fp16_non_power_of_two_size_149, 149",darcy_fno_small_seed4_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_small_seed4_torchscript_fp16_native.json
,torchscript,fp16_native,"fft_fp16_non_power_of_two_size_150, 150",darcy_fno_base_modes12_seed1_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_modes12_seed1_torchscript_fp16_native.json
,torchscript,fp16_native,"fft_fp16_non_power_of_two_size_153, 153",darcy_fno_large_seed0_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_large_seed0_torchscript_fp16_native.json
,torchscript,fp16_native,"fft_fp16_non_power_of_two_size_156, 156",darcy_fno_base_pad15_seed0_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_pad15_seed0_torchscript_fp16_native.json
,torchscript,fp16_native,fft_fp16_non_power_of_two_size_2064,burgers_fno_small_seed2_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_small_seed2_torchscript_fp16_native.json
,torchscript,fp16_native,fft_fp16_non_power_of_two_size_2072,burgers_fno_base_modes12_seed1_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_modes12_seed1_torchscript_fp16_native.json
,torchscript,fp16_native,fft_fp16_non_power_of_two_size_2080,burgers_fno_large_seed0_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_large_seed0_torchscript_fp16_native.json
,torchscript,fp16_native,fft_fp16_non_power_of_two_size_2088,burgers_fno_base_pad40_seed1_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_pad40_seed1_torchscript_fp16_native.json
,torchscript,fp16_native,"fft_fp16_non_power_of_two_size_220, 220",darcy_fno_base_r211_seed1_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_r211_seed1_torchscript_fp16_native.json
,torchscript,fp16_native,"fft_fp16_non_power_of_two_size_290, 290",darcy_fno_base_r281_seed1_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_r281_seed1_torchscript_fp16_native.json
,torchscript,fp16_native,fft_fp16_non_power_of_two_size_4120,burgers_fno_base_r4096_seed0_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_r4096_seed0_torchscript_fp16_native.json
,torchscript,fp16_native,"fft_fp16_non_power_of_two_size_430, 430",darcy_fno_base_r421_seed1_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_r421_seed1_torchscript_fp16_native.json
,torchscript,fp16_native,fft_fp16_non_power_of_two_size_536,burgers_fno_base_r512_seed2_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_r512_seed2_torchscript_fp16_native.json
,torchscript,fp16_native,fft_fp16_non_power_of_two_size_8216,burgers_fno_base_r8192_seed1_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 26, in forward         x1 = x0       model = self.model       y = (model).forward(x1, )            ~~~~~~~~~~~~~~ <--- HE",results/jetson_fno_precision/burgers_fno_base_r8192_seed1_torchscript_fp16_native.json
,torchscript,fp16_native,"fft_fp16_non_power_of_two_size_94, 94",darcy_fno_base_r85_seed2_torchscript_fp16_native,"The following operation failed in the TorchScript interpreter. Traceback of TorchScript, serialized code (most recent call last):   File ""code/__torch__/src/eval/common.py"", line 43, in forward           x4 = x3         model0 = self.model         y1 = (model0).forward(x4, )               ~~~~~~~~~~",results/jetson_fno_precision/darcy_fno_base_r85_seed2_torchscript_fp16_native.json
